,Year,State,STATE_NAME,REGION_NAME,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT,UNFOUNDED_COUNT,CLEARED_COUNT,JUVENILE_CLEARED_COUNT,ht_happ
0,2016,MO,Missouri,Midwest,Commercial Sex Acts,2,0,2,0,1
1,2016,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
2,2016,TX,Texas,South,Involuntary Servitude,2,0,0,0,1
3,2019,NV,Nevada,West,Commercial Sex Acts,15,0,4,0,1
4,2017,AZ,Arizona,West,Commercial Sex Acts,1,0,0,0,1
5,2018,ND,North Dakota,Midwest,Commercial Sex Acts,1,0,0,0,1
6,2020,GA,Georgia,South,Commercial Sex Acts,1,0,1,0,1
7,2020,GA,Georgia,South,Commercial Sex Acts,2,0,0,0,1
8,2020,GA,Georgia,South,Involuntary Servitude,1,0,0,0,1
9,2020,GA,Georgia,South,Commercial Sex Acts,2,0,1,0,1
10,2020,GA,Georgia,South,Commercial Sex Acts,5,0,0,0,1
11,2020,GA,Georgia,South,Involuntary Servitude,1,0,0,0,1
12,2020,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
13,2020,GA,Georgia,South,Commercial Sex Acts,1,0,1,0,1
14,2020,GA,Georgia,South,Commercial Sex Acts,2,0,0,0,1
15,2017,AZ,Arizona,West,Commercial Sex Acts,1,0,0,0,1
16,2017,LA,Louisiana,South,Commercial Sex Acts,3,0,3,0,1
17,2020,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
18,2018,LA,Louisiana,South,Commercial Sex Acts,4,0,2,0,1
19,2020,GA,Georgia,South,Commercial Sex Acts,4,0,0,0,1
20,2020,GA,Georgia,South,Commercial Sex Acts,3,0,0,0,1
21,2020,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
22,2017,OK,Oklahoma,South,Commercial Sex Acts,1,0,1,0,1
23,2017,MO,Missouri,Midwest,Commercial Sex Acts,1,0,1,0,1
24,2019,WI,Wisconsin,Midwest,Commercial Sex Acts,1,0,1,0,1
25,2018,CO,Colorado,West,Commercial Sex Acts,1,0,1,0,1
26,2017,OH,Ohio,Midwest,Commercial Sex Acts,1,0,0,0,1
27,2016,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
28,2016,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
29,2016,TX,Texas,South,Involuntary Servitude,4,0,0,0,1
30,2016,TX,Texas,South,Commercial Sex Acts,1,0,1,0,1
31,2017,AZ,Arizona,West,Commercial Sex Acts,2,0,0,0,1
32,2017,AZ,Arizona,West,Commercial Sex Acts,1,0,1,0,1
33,2017,MA,Massachusetts,Northeast,Involuntary Servitude,3,0,0,0,1
34,2016,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
35,2016,TX,Texas,South,Involuntary Servitude,2,0,0,0,1
36,2016,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
37,2016,TX,Texas,South,Involuntary Servitude,2,0,0,0,1
38,2017,TX,Texas,South,Involuntary Servitude,3,0,1,0,1
39,2020,NV,Nevada,West,Commercial Sex Acts,1,0,0,0,1
40,2020,NV,Nevada,West,Commercial Sex Acts,4,0,2,1,1
41,2020,NV,Nevada,West,Commercial Sex Acts,3,0,3,0,1
42,2020,NV,Nevada,West,Commercial Sex Acts,2,0,3,0,1
43,2020,NV,Nevada,West,Commercial Sex Acts,6,0,0,0,1
44,2020,CT,Connecticut,Northeast,Commercial Sex Acts,1,0,0,0,1
45,2018,MI,Michigan,Midwest,Commercial Sex Acts,2,0,0,0,1
46,2019,MI,Michigan,Midwest,Involuntary Servitude,1,0,0,0,1
47,2020,MI,Michigan,Midwest,Commercial Sex Acts,1,0,0,0,1
48,2015,VA,Virginia,South,Commercial Sex Acts,1,0,1,0,1
49,2016,VA,Virginia,South,Commercial Sex Acts,5,0,5,0,1
50,2020,VA,Virginia,South,Commercial Sex Acts,1,0,0,0,1
51,2020,SD,South Dakota,Midwest,Commercial Sex Acts,1,0,0,0,1
52,2020,SD,South Dakota,Midwest,Commercial Sex Acts,1,0,0,0,1
53,2020,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
54,2020,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
55,2018,TX,Texas,South,Commercial Sex Acts,4,0,0,0,1
56,2018,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
57,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
58,2019,TX,Texas,South,Commercial Sex Acts,3,0,0,0,1
59,2019,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
60,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
61,2019,TX,Texas,South,Commercial Sex Acts,2,0,0,0,1
62,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
63,2019,TX,Texas,South,Commercial Sex Acts,2,0,1,0,1
64,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
65,2019,TX,Texas,South,Commercial Sex Acts,2,0,1,0,1
66,2020,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
67,2016,OR,Oregon,West,Commercial Sex Acts,1,0,0,0,1
68,2016,OR,Oregon,West,Involuntary Servitude,1,0,0,0,1
69,2016,OR,Oregon,West,Commercial Sex Acts,3,0,0,0,1
70,2016,OR,Oregon,West,Commercial Sex Acts,1,0,0,0,1
71,2016,OR,Oregon,West,Commercial Sex Acts,1,0,0,0,1
72,2016,OR,Oregon,West,Commercial Sex Acts,1,0,0,0,1
73,2017,OR,Oregon,West,Commercial Sex Acts,3,0,0,0,1
74,2017,OR,Oregon,West,Commercial Sex Acts,2,0,1,0,1
75,2017,OR,Oregon,West,Commercial Sex Acts,2,0,1,0,1
76,2017,OR,Oregon,West,Commercial Sex Acts,5,0,1,0,1
77,2020,NC,North Carolina,South,Involuntary Servitude,1,0,1,0,1
78,2018,KY,Kentucky,South,Commercial Sex Acts,1,0,1,0,1
79,2018,KY,Kentucky,South,Involuntary Servitude,1,0,0,0,1
80,2018,KY,Kentucky,South,Commercial Sex Acts,1,0,0,0,1
81,2018,TX,Texas,South,Commercial Sex Acts,3,0,0,0,1
82,2018,TX,Texas,South,Commercial Sex Acts,1,0,1,0,1
83,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
84,2019,TX,Texas,South,Commercial Sex Acts,6,0,0,0,1
85,2019,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
86,2019,AK,Alaska,West,Commercial Sex Acts,1,0,0,0,1
87,2019,MN,Minnesota,Midwest,Commercial Sex Acts,3,0,1,0,1
88,2019,MN,Minnesota,Midwest,Commercial Sex Acts,4,0,1,0,1
89,2019,MN,Minnesota,Midwest,Commercial Sex Acts,2,0,1,0,1
90,2019,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
91,2019,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,6,0,1
92,2019,MN,Minnesota,Midwest,Commercial Sex Acts,3,0,2,0,1
93,2017,KY,Kentucky,South,Commercial Sex Acts,1,0,0,0,1
94,2019,MO,Missouri,Midwest,Commercial Sex Acts,2,0,0,0,1
95,2016,TN,Tennessee,South,Commercial Sex Acts,1,0,0,0,1
96,2020,MI,Michigan,Midwest,Commercial Sex Acts,1,0,0,0,1
97,2017,MO,Missouri,Midwest,Commercial Sex Acts,1,0,0,0,1
98,2018,MO,Missouri,Midwest,Commercial Sex Acts,1,0,0,0,1
99,2020,VA,Virginia,South,Commercial Sex Acts,1,0,0,0,1
100,2020,OK,Oklahoma,South,Commercial Sex Acts,1,0,1,0,1
101,2019,DE,Delaware,South,Commercial Sex Acts,1,0,0,0,1
102,2020,SC,South Carolina,South,Commercial Sex Acts,1,0,0,0,1
103,2019,CO,Colorado,West,Commercial Sex Acts,2,0,0,0,1
104,2019,CO,Colorado,West,Commercial Sex Acts,3,0,1,0,1
105,2019,CO,Colorado,West,Commercial Sex Acts,1,0,0,0,1
106,2019,CO,Colorado,West,Commercial Sex Acts,1,0,0,0,1
107,2020,CO,Colorado,West,Commercial Sex Acts,1,0,0,0,1
108,2020,CO,Colorado,West,Commercial Sex Acts,1,0,0,0,1
109,2020,DE,Delaware,South,Commercial Sex Acts,1,0,0,0,1
110,2019,MA,Massachusetts,Northeast,Commercial Sex Acts,1,0,1,0,1
111,2019,MA,Massachusetts,Northeast,Involuntary Servitude,1,0,0,0,1
112,2020,GA,Georgia,South,Involuntary Servitude,1,0,0,0,1
113,2020,SC,South Carolina,South,Commercial Sex Acts,1,0,0,0,1
114,2020,SC,South Carolina,South,Commercial Sex Acts,1,0,1,0,1
115,2020,SC,South Carolina,South,Commercial Sex Acts,1,0,0,0,1
116,2020,GA,Georgia,South,Commercial Sex Acts,3,0,0,0,1
117,2020,GA,Georgia,South,Involuntary Servitude,3,0,0,0,1
118,2019,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
119,2020,GA,Georgia,South,Involuntary Servitude,1,0,1,0,1
120,2019,WA,Washington,West,Commercial Sex Acts,1,0,1,0,1
121,2019,GA,Georgia,South,Involuntary Servitude,1,0,0,0,1
122,2019,GA,Georgia,South,Commercial Sex Acts,2,0,1,1,1
123,2019,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
124,2020,GA,Georgia,South,Commercial Sex Acts,1,0,1,0,1
125,2020,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
126,2020,NC,North Carolina,South,Involuntary Servitude,1,0,0,0,1
127,2020,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
128,2019,GA,Georgia,South,Involuntary Servitude,1,0,0,0,1
129,2020,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
130,2018,SC,South Carolina,South,Commercial Sex Acts,1,0,1,0,1
131,2019,SC,South Carolina,South,Commercial Sex Acts,2,0,2,0,1
132,2019,SC,South Carolina,South,Commercial Sex Acts,1,0,0,0,1
133,2018,SC,South Carolina,South,Commercial Sex Acts,1,0,0,0,1
134,2019,CO,Colorado,West,Commercial Sex Acts,1,0,0,0,1
135,2019,GA,Georgia,South,Commercial Sex Acts,1,0,0,0,1
136,2020,GA,Georgia,South,Commercial Sex Acts,1,0,1,0,1
137,2020,GA,Georgia,South,Involuntary Servitude,1,0,0,0,1
138,2020,SC,South Carolina,South,Commercial Sex Acts,1,0,0,0,1
139,2020,MD,Maryland,South,Commercial Sex Acts,2,0,1,0,1
140,2020,NC,North Carolina,South,Commercial Sex Acts,1,0,0,0,1
141,2020,NH,New Hampshire,Northeast,Involuntary Servitude,1,0,0,0,1
142,2020,NH,New Hampshire,Northeast,Involuntary Servitude,1,0,0,0,1
143,2019,TN,Tennessee,South,Commercial Sex Acts,2,0,2,0,1
144,2018,TN,Tennessee,South,Commercial Sex Acts,2,0,0,0,1
145,2017,WA,Washington,West,Commercial Sex Acts,1,0,0,0,1
146,2019,TN,Tennessee,South,Commercial Sex Acts,1,0,0,0,1
147,2017,TN,Tennessee,South,Commercial Sex Acts,1,0,1,0,1
174,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
175,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
176,2018,MN,Minnesota,Midwest,Commercial Sex Acts,1,0,1,0,1
177,2018,TX,Texas,South,Commercial Sex Acts,1,0,1,0,1
178,2018,MO,Missouri,Midwest,Commercial Sex Acts,1,0,0,0,1
179,2018,TX,Texas,South,Commercial Sex Acts,1,0,0,0,1
180,2017,LA,Louisiana,South,Commercial Sex Acts,9,0,8,0,1
181,2018,FL,Florida,South,Commercial Sex Acts,1,3,0,0,1
182,2017,TX,Texas,South,Involuntary Servitude,1,0,0,0,1
183,2018,FL,Florida,South,Commercial Sex Acts,1,0,1,0,1
184,2018,FL,Florida,South,Involuntary Servitude,2,0,0,0,1
185,2018,FL,Florida,South,Commercial Sex Acts,18,10,1,0,1
186,2018,FL,Florida,South,Commercial Sex Acts,2,0,1,0,1
187,2019,WV,West Virginia,South,Commercial Sex Acts,1,0,0,0,1
188,2018,FL,Florida,South,Commercial Sex Acts,1,0,0,0,1
