,State,Year,Data.Population,Data.Rates.Property.All,Data.Rates.Property.Burglary,Data.Rates.Property.Larceny,Data.Rates.Property.Motor,Data.Totals.Property.All,Data.Totals.Property.Burglary,Data.Totals.Property.Larceny,Data.Totals.Property.Motor
55,Alabama,2015,4858979,328.3,2978.9,725.6,2040.7,15954,144746,35255,99156
56,Alabama,2016,4863300,2947.8,700.5,2006.3,241.1,143362,34065,97574,11723
57,Alabama,2017,4874747,2957.3,645.7,2048.1,263.4,144160,31477,99842,12841
58,Alabama,2018,4887871,2817.2,590.1,1958.9,268.3,137700,28841,95747,13112
59,Alabama,2019,4903185,2674.4,531.9,1886.1,256.5,131133,26079,92477,12577
115,Alaska,2015,738432,497.1,2817.6,475.5,2065.1,3671,20806,3511,15249
116,Alaska,2016,741894,3353.0,546.3,2394.7,412.1,24876,4053,17766,3057
117,Alaska,2017,739795,3542.1,563.8,2402.7,575.6,26204,4171,17775,4258
118,Alaska,2018,737438,3300.5,539.6,2219.0,541.9,24339,3979,16364,3996
119,Alaska,2019,731545,2910.8,487.1,2066.0,357.7,21294,3563,15114,2617
175,Arizona,2015,6828065,267.1,3033.2,555.9,2231.5,18235,207107,37957,152365
176,Arizona,2016,6931071,2978.4,544.4,2168.1,265.8,206432,37736,150275,18421
177,Arizona,2017,7016270,2914.9,536.3,2107.0,271.6,204515,37627,147830,19058
178,Arizona,2018,7171646,2676.8,439.7,1970.3,266.9,191974,31532,141303,19139
179,Arizona,2019,7278717,2440.5,394.3,1796.9,249.4,177638,28699,130788,18151
235,Arkansas,2015,2978204,380.0,3251.5,760.2,2297.5,11316,96836,22640,68424
236,Arkansas,2016,2988248,3268.6,795.5,2233.6,239.4,97673,23771,66747,7155
237,Arkansas,2017,3004279,3078.6,727.7,2109.5,241.4,92489,21862,63374,7253
238,Arkansas,2018,3013825,2913.0,636.8,2040.2,236.0,87793,19193,61487,7113
239,Arkansas,2019,3017804,2858.0,599.6,2012.6,245.9,86250,18095,60735,7420
295,California,2015,39144818,253.8,2618.3,504.3,1677.1,99349,1024914,197404,656517
296,California,2016,39250017,2553.0,479.8,1623.0,450.3,1002070,188304,637010,176756
297,California,2017,39536653,2496.7,446.9,1623.9,425.9,987114,176690,642033,168391
298,California,2018,39557045,2380.4,416.2,1571.8,392.4,941618,164632,621775,155211
299,California,2019,39512223,2331.2,386.1,1586.3,358.8,921114,152555,626802,141757
