,Person.Age,Person.Gender,Person.Race,Incident.Date.Month,Incident.Date.Day,Year,Incident.Location.City,State,Factors.Armed,Factors.Threat-Level,Factors.Fleeing,Shooting.Manner,ps_happ
0,53,Male,Asian,1,2,2015,Shelton,WA,gun,attack,Not fleeing,shot,1
1,47,Male,White,1,2,2015,Aloha,OR,gun,attack,Not fleeing,shot,1
2,23,Male,Hispanic,1,3,2015,Wichita,KS,unarmed,other,Not fleeing,shot and Tasered,1
3,32,Male,White,1,4,2015,San Francisco,CA,toy weapon,attack,Not fleeing,shot,1
4,39,Male,Hispanic,1,4,2015,Evans,CO,nail gun,attack,Not fleeing,shot,1
5,18,Male,White,1,4,2015,Guthrie,OK,gun,attack,Not fleeing,shot,1
6,22,Male,Hispanic,1,5,2015,Chandler,AZ,gun,attack,Car,shot,1
7,35,Male,White,1,6,2015,Assaria,KS,gun,attack,Not fleeing,shot,1
8,34,Female,White,1,6,2015,Burlington,IA,unarmed,other,Not fleeing,shot,1
9,47,Male,African American,1,6,2015,Knoxville,PA,toy weapon,attack,Not fleeing,shot,1
10,25,Male,White,1,6,2015,Stockton,CA,knife,attack,Not fleeing,shot and Tasered,1
11,31,Male,African American,1,7,2015,Freeport,TX,gun,attack,Not fleeing,shot,1
12,41,Male,African American,1,7,2015,Columbus,OH,knife,other,Not fleeing,shot,1
13,30,Male,White,1,7,2015,Des Moines,IA,gun,attack,Car,shot,1
14,37,Male,African American,1,7,2015,New Orleans,LA,gun,attack,Foot,shot,1
15,28,Male,White,1,8,2015,Huntley,MT,unknown,undetermined,Not fleeing,shot,1
16,42,Male,White,1,8,2015,Salt Lake City,UT,shovel,attack,Not fleeing,shot,1
17,36,Male,African American,1,8,2015,Strong,AR,unarmed,attack,Not fleeing,shot,1
18,49,Male,White,1,8,2015,Syracuse,UT,gun,attack,Not fleeing,shot,1
19,71,Male,White,1,9,2015,England,AR,gun,attack,Not fleeing,shot,1
