,State,Year,Data.Population,Data.Rates.Violent.All,Data.Rates.Violent.Assault,Data.Rates.Violent.Murder,Data.Rates.Violent.Rape,Data.Rates.Violent.Robbery,Data.Totals.Violent.All,Data.Totals.Violent.Assault,Data.Totals.Violent.Murder,Data.Totals.Violent.Rape,Data.Totals.Violent.Robbery
55,Alabama,2015,4858979,472.4,94.9,7.2,42.0,30.0,22952,4611,348,2039,1456
56,Alabama,2016,4863300,532.3,388.2,8.4,39.4,96.4,25886,18877,407,1916,4686
57,Alabama,2017,4874747,524.2,387.8,8.3,41.6,86.5,25551,18902,404,2028,4217
58,Alabama,2018,4887871,519.6,387.6,7.8,40.8,83.4,25399,18944,383,1996,4076
59,Alabama,2019,4903185,510.8,381.0,7.3,42.2,80.4,25046,18679,358,2068,3941
115,Alaska,2015,738432,730.2,103.1,8.0,122.0,88.0,5392,761,59,901,650
116,Alaska,2016,741894,804.2,540.6,7.0,141.9,114.6,5966,4011,52,1053,850
117,Alaska,2017,739795,829.0,575.4,8.4,116.7,128.5,6133,4257,62,863,951
118,Alaska,2018,737438,885.0,595.4,6.4,161.6,121.5,6526,4391,47,1192,896
119,Alaska,2019,731545,867.1,596.0,9.4,148.7,112.9,6343,4360,69,1088,826
175,Arizona,2015,6828065,410.2,93.1,4.5,45.5,33.6,28012,6360,309,3108,2294
176,Arizona,2016,6931071,470.1,315.4,5.5,47.5,101.8,32583,21858,380,3290,7055
177,Arizona,2017,7016270,508.0,345.0,5.9,51.0,106.0,35644,24207,416,3581,7440
178,Arizona,2018,7171646,474.9,328.1,5.1,50.7,91.0,34058,23528,369,3638,6523
179,Arizona,2019,7278717,455.3,311.9,5.0,50.3,88.1,33141,22704,365,3662,6410
235,Arkansas,2015,2978204,521.3,70.4,6.1,64.8,43.7,15526,2098,181,1931,1300
236,Arkansas,2016,2988248,550.9,401.0,7.2,71.7,70.9,16461,11982,216,2143,2120
237,Arkansas,2017,3004279,554.9,413.6,8.6,68.3,64.4,16671,12425,258,2053,1935
238,Arkansas,2018,3013825,543.6,410.7,7.2,72.9,52.9,16384,12378,216,2196,1594
239,Arkansas,2019,3017804,584.6,447.8,8.0,77.2,51.6,17643,13513,242,2331,1557
295,California,2015,39144818,426.3,135.0,4.8,32.7,24.0,166883,52862,1861,12811,9387
296,California,2016,39250017,445.3,265.9,4.9,34.9,139.6,174796,104375,1930,13702,54789
297,California,2017,39536653,449.3,264.2,4.6,37.2,143.2,177627,104454,1830,14721,56622
298,California,2018,39557045,447.4,266.5,4.4,39.2,137.3,176982,105412,1739,15505,54326
299,California,2019,39512223,441.2,267.1,4.3,37.5,132.4,174331,105541,1690,14799,52301
355,Colorado,2015,5456574,321.0,60.9,3.2,59.7,43.6,17515,3323,176,3257,2377
356,Colorado,2016,5540545,342.6,211.1,3.7,64.2,63.7,18983,11696,204,3555,3528
357,Colorado,2017,5607154,368.1,226.9,3.9,68.8,68.4,20638,12721,221,3858,3838
358,Colorado,2018,5695564,397.2,255.4,3.7,71.5,66.7,22624,14547,210,4070,3797
359,Colorado,2019,5758736,381.0,246.3,3.8,67.2,63.6,21938,14185,218,3872,3663
415,Connecticut,2015,3590886,218.5,80.5,3.3,21.5,16.2,7845,2892,117,773,582
416,Connecticut,2016,3576452,227.1,128.0,2.2,21.3,75.6,8123,4579,78,763,2703
417,Connecticut,2017,3588184,228.0,123.4,2.8,23.3,78.4,8180,4428,102,837,2813
418,Connecticut,2018,3572665,207.4,120.2,2.3,23.5,61.4,7411,4294,83,840,2194
419,Connecticut,2019,3565287,183.6,105.0,2.9,21.6,54.1,6546,3742,104,771,1929
475,Delaware,2015,945934,499.0,130.6,6.7,36.0,25.7,4720,1235,63,341,243
476,Delaware,2016,952065,508.8,327.8,5.9,32.4,142.7,4844,3121,56,308,1359
477,Delaware,2017,961939,453.4,300.5,5.6,34.7,112.5,4361,2891,54,334,1082
478,Delaware,2018,967171,423.6,294.2,5.0,34.9,89.5,4097,2845,48,338,866
479,Delaware,2019,973764,422.6,304.7,4.9,31.8,81.1,4115,2967,48,310,790
535,District of Columbia,2015,672228,1269.1,556.7,24.1,73.5,54.4,8531,3742,162,494,366
536,District of Columbia,2016,681170,1205.9,596.5,20.4,78.1,510.9,8214,4063,139,532,3480
537,District of Columbia,2017,693972,1004.9,546.3,16.7,64.0,378.0,6974,3791,116,444,2623
538,District of Columbia,2018,702455,995.9,565.3,22.8,64.1,343.8,6996,3971,160,450,2415
539,District of Columbia,2019,705749,1049.0,592.1,23.5,48.9,384.4,7403,4179,166,345,2713
595,Florida,2015,20271272,461.9,104.3,5.1,37.3,26.8,93626,21137,1041,7553,5430
596,Florida,2016,20612439,430.3,290.2,5.4,36.9,97.9,88700,59816,1111,7598,20175
597,Florida,2017,20984400,408.0,276.5,5.0,37.8,88.6,85625,58031,1057,7940,18597
598,Florida,2018,21299325,384.9,260.8,5.2,39.6,79.3,81980,55551,1107,8438,16884
599,Florida,2019,21477737,378.4,258.3,5.2,39.4,75.5,81270,55475,1122,8456,16217
655,Georgia,2015,10214860,378.3,119.9,6.0,31.6,22.5,38643,12247,615,3224,2296
656,Georgia,2016,10310371,397.6,238.5,6.6,34.0,118.4,40990,24595,681,3509,12205
657,Georgia,2017,10429379,357.2,228.1,6.7,26.1,96.3,37258,23793,703,2718,10044
658,Georgia,2018,10519475,326.6,216.6,6.1,25.2,78.7,34355,22783,642,2651,8279
659,Georgia,2019,10617423,340.7,232.0,6.2,27.5,75.0,36170,24633,654,2922,7961
715,Hawaii,2015,1431603,293.4,84.0,1.3,39.2,27.9,4201,1203,19,561,400
716,Hawaii,2016,1428557,309.2,193.8,2.5,43.3,69.6,4417,2769,35,619,994
717,Hawaii,2017,1427538,250.6,132.7,2.7,39.7,75.4,3577,1894,39,567,1077
718,Hawaii,2018,1420491,248.6,135.5,2.5,44.0,66.6,3532,1925,36,625,946
719,Hawaii,2019,1415872,285.5,148.2,3.4,54.0,79.9,4042,2098,48,765,1131
775,Idaho,2015,1654930,215.6,11.6,1.9,41.9,32.2,3568,192,32,694,533
776,Idaho,2016,1683140,230.3,172.0,2.9,42.7,12.7,3876,2895,49,719,213
777,Idaho,2017,1716943,226.4,172.0,1.9,41.2,11.4,3888,2953,32,707,196
778,Idaho,2018,1754208,227.1,168.6,2.0,45.1,11.4,3983,2957,35,791,200
779,Idaho,2019,1787065,223.8,167.9,2.0,45.3,8.7,4000,3001,35,809,155
835,Illinois,2015,12859995,383.8,115.9,5.8,37.5,27.6,49354,14910,744,4821,3549
836,Illinois,2016,12801539,436.3,250.5,8.2,38.3,139.3,55854,32065,1054,4908,17827
837,Illinois,2017,12802023,438.8,250.4,7.8,43.4,137.2,56180,32060,997,5556,17567
838,Illinois,2018,12741080,404.1,239.7,6.9,46.0,111.5,51490,30539,884,5859,14208
839,Illinois,2019,12671821,406.9,254.0,6.6,48.0,98.4,51561,32187,832,6078,12464
895,Indiana,2015,6619680,387.5,107.4,5.6,36.3,27.0,25653,7111,373,2404,1789
896,Indiana,2016,6633053,404.7,249.9,6.6,37.7,110.5,26845,16575,439,2501,7330
897,Indiana,2017,6666818,399.0,254.6,6.0,39.4,99.0,26598,16976,397,2625,6600
